Command	Type
nfcompositum	entity.name.function	nfcompositum(nf,P,Q,{flag=0}): vector of all possible compositums of the number fields defined by the polynomials P and Q; flag is optional, whose binary digits mean 1: output for each compositum, not only the compositum polynomial pol, but a vector [R,a,b,k] where a (resp. b) is a root of P (resp. Q) expressed as a polynomial modulo R, and a small integer k such that al2+k*al1 is the chosen root of R; 2: assume that the number fields defined by P and Q are linearly disjoint.
nfdetint	entity.name.function	nfdetint(nf,x): multiple of the ideal determinant of the pseudo generating set x.
nfdisc	entity.name.function	nfdisc(T): discriminant of the number field defined by the polynomial T. An argument [T,listP] is possible, where listP is a list of primes or a prime bound.
nfdiscfactors	entity.name.function	nfdiscfactors(T): [D, faD], where D = nfdisc(T), and faD is the factorization of |D|.
nfeltadd	entity.name.function	nfeltadd(nf,x,y): element x+y in nf.
nfeltdiv	entity.name.function	nfeltdiv(nf,x,y): element x/y in nf.
nfeltdiveuc	entity.name.function	nfeltdiveuc(nf,x,y): gives algebraic integer q such that x-qy is small.
nfeltdivmodpr	entity.name.function	nfeltdivmodpr(nf,x,y,pr): this function is obsolete, use nfmodpr.
nfeltdivrem	entity.name.function	nfeltdivrem(nf,x,y): gives [q,r] such that r=x-qy is small.
nfeltembed	entity.name.function	nfeltembed(nf,x,{pl}): complex embeddings of x at places given by vector pl.
nfeltispower	entity.name.function	nfeltispower(nf,x,n,{&y}): return 1 if x is an n-th power (and set y to an n-th root if present), else return 0.
nfeltissquare	entity.name.function	nfeltissquare(nf,x,{&y}): return 1 if x is a square (and set y to a square root if present), else return 0.
nfeltmod	entity.name.function	nfeltmod(nf,x,y): gives r such that r=x-qy is small with q algebraic integer.
nfeltmul	entity.name.function	nfeltmul(nf,x,y): element x.y in nf.
nfeltmulmodpr	entity.name.function	nfeltmulmodpr(nf,x,y,pr): this function is obsolete, use nfmodpr.
nfeltnorm	entity.name.function	nfeltnorm(nf,x): norm of x.
nfeltpow	entity.name.function	nfeltpow(nf,x,k): element x^k in nf.
nfeltpowmodpr	entity.name.function	nfeltpowmodpr(nf,x,k,pr): this function is obsolete, use nfmodpr.
nfeltreduce	entity.name.function	nfeltreduce(nf,a,id): gives r such that a-r is in the ideal id and r is small.
nfeltreducemodpr	entity.name.function	nfeltreducemodpr(nf,x,pr): this function is obsolete, use nfmodpr.
nfeltsign	entity.name.function	nfeltsign(nf,x,{pl}): signs of real embeddings of x at places given by vector pl.
nfelttrace	entity.name.function	nfelttrace(nf,x): trace of x.
nfeltval	entity.name.function	nfeltval(nf,x,pr,{&y}): valuation of element x at the prime pr as output by idealprimedec.
nffactor	entity.name.function	nffactor(nf,T): factor polynomial T in number field nf.
nffactorback	entity.name.function	nffactorback(nf,f,{e}): given a factorization f, returns the factored object back as an nf element.
nffactormod	entity.name.function	nffactormod(nf,Q,pr): this routine is obsolete, use nfmodpr and factormod. Factor polynomial Q modulo prime ideal pr in number field nf.
nfgaloisapply	entity.name.function	nfgaloisapply(nf,aut,x): apply the Galois automorphism aut to the object x (element or ideal) in the number field nf.
nfgaloisconj	entity.name.function	nfgaloisconj(nf,{flag=0},{d}): list of conjugates of a root of the polynomial x=nf.pol in the same number field. flag is optional (set to 0 by default), meaning 0: use combination of flag 4 and 1, always complete; 1: use nfroots; 4: use Allombert's algorithm, complete if the field is Galois of degree <= 35 (see manual for details). nf can be simply a polynomial.
nfgrunwaldwang	entity.name.function	nfgrunwaldwang(nf,Lpr,Ld,pl,{v='x}): a polynomial in the variable v defining a cyclic extension of nf (given in nf or bnf form) with local behavior prescribed by Lpr, Ld and pl: the extension has local degree a multiple of Ld[i] at the prime Lpr[i], and the extension is complex at the i-th real place of nf if pl[i]=-1 (no condition if pl[i]=0). The extension has degree the LCM of the local degrees.
nfhilbert	entity.name.function	nfhilbert(nf,a,b,{pr}): if pr is omitted, global Hilbert symbol (a,b) in nf, that is 1 if X^2-aY^2-bZ^2 has a nontrivial solution (X,Y,Z) in nf, -1 otherwise. Otherwise compute the local symbol modulo the prime ideal pr.
nfhnf	entity.name.function	nfhnf(nf,x,{flag=0}): if x=[A,I], gives a pseudo-basis [B,J] of the module sum A_jI_j. If flag is nonzero, return [[B,J], U], where U is the transformation matrix such that AU = [0|B].
nfhnfmod	entity.name.function	nfhnfmod(nf,x,detx): if x=[A,I], and detx is a multiple of the ideal determinant of x, gives a pseudo-basis of the module sum A_jI_j.
nfinit	entity.name.function	nfinit(pol,{flag=0}): pol being a nonconstant irreducible polynomial in Q[X], returns an nf structure attached to the number field Q[X] / (pol). Binary digits of flag mean 1: two-element vector [nf,Mod(a,P)], where Mod(a,P) is a polmod equal to Mod(x,pol) and P=nf.pol; 2: first use polredbest to find a simpler polynomial P; 4: do not LLL-reduce the maximal order basis nf.zk.
nfisideal	entity.name.function	nfisideal(nf,x): true(1) if x is an ideal in the number field nf, false(0) if not.
nfisincl	entity.name.function	nfisincl(f,g,{flag=0}): let f and g define number fields, either irreducible rational polynomials or number fields as output by nfinit; tests whether the number field f is isomorphic to a subfield of g. Return 0 if not, and otherwise all the embeddings (flag=0, default), only one (flag=1), or all embeddings as rational functions (flag=2).
nfisisom	entity.name.function	nfisisom(f,g): as nfisincl but tests whether f is isomorphic to g.
nfislocalpower	entity.name.function	nfislocalpower(nf,pr,a,n): true(1) if a is an n-th power in the local field K_v, false(0) if not.
nfkermodpr	entity.name.function	nfkermodpr(nf,x,pr): this function is obsolete, use nfmodpr.
nflist	entity.name.function	nflist(G, {N}, {s = -1}, {F}): find number fields (up to isomorphism) with Galois group of Galois closure isomorphic to G, and s complex places. If s = -1 (default) all signatures, s = -2 is identical to s = -1 except signatures are separated by increasing number of complex places. If field F is specified (by a polynomial), give only number fields having F as a subfield (or a resolvent field in the case of S3, Dl, A4, S4, F5, M21 and M42). The parameter N can be the following: a positive integer (absolute value of discriminant is N); a vector [a,b] (find fields with absolute discriminant between a and b); a polynomial, in variable t say (regular extension of Q(t) with specified Galois group). Finally, N can be omitted (default), in which case a few fields are given and F is ignored.
nfmodpr	entity.name.function	nfmodpr(nf,x,pr): map x to the residue field mod pr.
nfmodprinit	entity.name.function	nfmodprinit(nf,pr, {v = variable(nf.pol)}): transform the prime ideal pr into modpr format necessary for all operations mod pr in the number field nf. Variable v is used to display finite field elements (see ffgen).
nfmodprlift	entity.name.function	nfmodprlift(nf,x,pr): lift x from residue field mod pr to nf.
nfnewprec	entity.name.function	nfnewprec(nf): transform the number field data nf into new data using the current (usually larger) precision.
nfpolsturm	entity.name.function	nfpolsturm(nf, T, {pl}): number of distinct real roots of the polynomial s(T) where s runs through the real embeddings given by vector pl.
nfresolvent	entity.name.function	nfresolvent(pol,{flag=0}): In the case where the Galois closure of the number field defined by pol is S3, Dl, A4, S4, F5, A5, M21, or M42, give the corresponding resolvent field. Otherwise, give a "canonical" subfield, or if flag >= 2 all "canonical" subfields. If flag is odd, give also the "conductor" f, whose definition is specific to each group.
nfroots	entity.name.function	nfroots({nf},x): roots of polynomial x belonging to nf (Q if omitted) without multiplicity.
nfrootsof1	entity.name.function	nfrootsof1(nf): number of roots of unity and primitive root of unity in the number field nf.
nfsnf	entity.name.function	nfsnf(nf,x,{flag=0}): if x=[A,I,J], outputs D=[d_1,...d_n] Smith normal form of x. If flag is nonzero return [D,U,V], where UAV = Id.
nfsolvemodpr	entity.name.function	nfsolvemodpr(nf,a,b,P): this function is obsolete, use nfmodpr.
nfsplitting	entity.name.function	nfsplitting(P,{d},{fl}): defining polynomial S over Q for the splitting field of P, that is the smallest field over which P is totally split. P can also be given by a nf structure. If d is given, it must be a multiple of the splitting field degree. If fl=1, return [S,C] where C is an embedding of Q[x]/(P) in its splitting field.
nfsubfields	entity.name.function	nfsubfields(pol,{d=0},{fl=0}): find all subfields of degree d of number field defined by pol (all subfields if d is null or omitted). Result is a vector of subfields, each being given by [g,h] (default) or simply g (flag=1), where g is an absolute equation and h expresses one of the roots of g in terms of the root x of the polynomial defining nf.
nfsubfieldscm	entity.name.function	nfsubfieldscm(nf,{fl=0}): compute the maximal CM subfield of nf. Return 0 if nf does not have a CM subfield, otherwise return [g,h] (default) or g (fl=1) where g is an absolute equation and h expresses a root of g in terms of the generator of nf.
nfsubfieldsmax	entity.name.function	nfsubfieldsmax(nf,{fl=0}): compute the list of maximal subfields of nf. Result is as in nfsubfields.
norm	entity.name.function	norm(x): norm of x.
norml2	entity.name.function	norml2(x): square of the L2-norm of x.
normlp	entity.name.function	normlp(x,{p=oo}): Lp-norm of x; sup norm if p is omitted.
numbpart	entity.name.function	numbpart(n): number of partitions of n.
numdiv	entity.name.function	numdiv(x): number of divisors of x.
numerator	entity.name.function	numerator(f,{D}): numerator of f.
numtoperm	entity.name.function	numtoperm(n,k): permutation number k (mod n!) of n letters (n C-integer).
omega	entity.name.function	omega(x): number of distinct prime divisors of x.
oo	constant.language	oo=oo(): infinity.
padicappr	entity.name.function	padicappr(pol,a): p-adic roots of the polynomial pol congruent to a mod p.
padicfields	entity.name.function	padicfields(p, N, {flag=0}): returns polynomials generating all the extensions of degree N of the field of p-adic rational numbers; N is allowed to be a 2-component vector [n,d], in which case, returns the extensions of degree n and discriminant p^d. flag is optional, and can be 0: default, 1: return also the ramification index, the residual degree, the valuation of the discriminant and the number of conjugate fields, or 2: return only the number of extensions in a fixed algebraic closure.
